"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
18.75,-64.8802005015,-54.888964433,-54.888964433
18.8,-64.8813866348,-54.8889544732,-54.8889544732
18.85,-64.8825610243,-54.8889446585,-54.8889446585
18.9,-64.8837237861,-54.8889349866,-54.8889349866
18.95,-64.8848750354,-54.8889254555,-54.8889254555
19.0,-64.8860148862,-54.8889160632,-54.8889160632
19.05,-64.8871434514,-54.8889068076,-54.8889068076
19.1,-64.8882608426,-54.8888976868,-54.8888976868
19.15,-64.8893671706,-54.8888886988,-54.8888886988
19.2,-64.8904625448,-54.8888798417,-54.8888798417
19.25,-64.8915470737,-54.8888711137,-54.8888711137
19.3,-64.8926208648,-54.8888625127,-54.8888625127
19.35,-64.8936840242,-54.888854037,-54.888854037
19.4,-64.8947366573,-54.8888456848,-54.8888456848
19.45,-64.8957788683,-54.8888374542,-54.8888374542
19.5,-64.8968107604,-54.8888293436,-54.8888293436
19.55,-64.8978324357,-54.8888213511,-54.8888213511
19.6,-64.8988439954,-54.8888134751,-54.8888134751
19.65,-64.8998455397,-54.8888057138,-54.8888057138
19.7,-64.9008371677,-54.8887980657,-54.8887980657
19.75,-64.9018189776,-54.888790529,-54.888790529
19.8,-64.9027910666,-54.8887831021,-54.8887831021
19.85,-64.903753531,-54.8887757834,-54.8887757834
19.9,-64.904706466,-54.8887685715,-54.8887685715
19.95,-64.905649966,-54.8887614646,-54.8887614646
20.0,-64.9065841245,-54.8887544614,-54.8887544614
20.05,-64.9075090338,-54.8887475602,-54.8887475602
20.1,-64.9084247856,-54.8887407597,-54.8887407597
20.15,-64.9093314706,-54.8887340583,-54.8887340583
20.2,-64.9102291785,-54.8887274546,-54.8887274546
20.25,-64.9111179982,-54.8887209472,-54.8887209472
20.3,-64.9119980177,-54.8887145346,-54.8887145346
20.35,-64.9128693241,-54.8887082156,-54.8887082156
20.4,-64.9137320038,-54.8887019888,-54.8887019888
20.45,-64.914586142,-54.8886958527,-54.8886958527
20.5,-64.9154318235,-54.8886898061,-54.8886898061
20.55,-64.9162691318,-54.8886838478,-54.8886838478
20.6,-64.91709815,-54.8886779763,-54.8886779763
20.65,-64.9179189601,-54.8886721905,-54.8886721905
20.7,-64.9187316434,-54.8886664891,-54.8886664891
20.75,-64.9195362802,-54.8886608708,-54.8886608708
20.8,-64.9203329504,-54.8886553345,-54.8886553345
20.85,-64.9211217328,-54.888649879,-54.888649879
20.9,-64.9219027054,-54.8886445031,-54.8886445031
20.95,-64.9226759456,-54.8886392056,-54.8886392056
21.0,-64.92344153,-54.8886339854,-54.8886339854
21.05,-64.9241995343,-54.8886288414,-54.8886288414
21.1,-64.9249500337,-54.8886237724,-54.8886237724
21.15,-64.9256931023,-54.8886187774,-54.8886187774
21.2,-64.9264288139,-54.8886138553,-54.8886138553
21.25,-64.9271572412,-54.8886090051,-54.8886090051
21.3,-64.9278784563,-54.8886042256,-54.8886042256
21.35,-64.9285925307,-54.8885995159,-54.8885995159
21.4,-64.929299535,-54.8885948749,-54.8885948749
21.45,-64.9299995393,-54.8885903017,-54.8885903017
21.5,-64.9306926128,-54.8885857952,-54.8885857952
21.55,-64.9313788243,-54.8885813546,-54.8885813546
21.6,-64.9320582416,-54.8885769787,-54.8885769787
21.65,-64.9327309319,-54.8885726667,-54.8885726667
21.7,-64.933396962,-54.8885684177,-54.8885684177
21.75,-64.9340563977,-54.8885642307,-54.8885642307
21.8,-64.9347093043,-54.8885601049,-54.8885601049
21.85,-64.9353557466,-54.8885560392,-54.8885560392
21.9,-64.9359957884,-54.888552033,-54.888552033
21.95,-64.9366294931,-54.8885480852,-54.8885480852
22.0,-64.9372569236,-54.8885441951,-54.8885441951
22.05,-64.9378781418,-54.8885403618,-54.8885403618
22.1,-64.9384932094,-54.8885365845,-54.8885365845
22.15,-64.9391021872,-54.8885328623,-54.8885328623
22.2,-64.9397051356,-54.8885291945,-54.8885291945
22.25,-64.9403021141,-54.8885255803,-54.8885255803
22.3,-64.940893182,-54.8885220189,-54.8885220189
22.35,-64.9414783977,-54.8885185094,-54.8885185094
22.4,-64.9420578192,-54.8885150513,-54.8885150513
22.45,-64.9426315038,-54.8885116436,-54.8885116436
22.5,-64.9431995084,-54.8885082857,-54.8885082857
22.55,-64.9437618892,-54.8885049769,-54.8885049769
22.6,-64.9443187019,-54.8885017164,-54.8885017164
22.65,-64.9448700016,-54.8884985035,-54.8884985035
22.7,-64.9454158428,-54.8884953376,-54.8884953376
22.75,-64.9459562797,-54.8884922179,-54.8884922179
22.8,-64.9464913658,-54.8884891438,-54.8884891438
22.85,-64.9470211539,-54.8884861146,-54.8884861146
22.9,-64.9475456966,-54.8884831297,-54.8884831297
22.95,-64.9480650459,-54.8884801884,-54.8884801884
23.0,-64.948579253,-54.88847729,-54.88847729
23.05,-64.949088369,-54.888474434,-54.888474434
23.1,-64.9495924443,-54.8884716198,-54.8884716198
23.15,-64.9500915287,-54.8884688466,-54.8884688466
23.2,-64.9505856716,-54.888466114,-54.888466114
23.25,-64.9510749221,-54.8884634213,-54.8884634213
23.3,-64.9515593285,-54.888460768,-54.888460768
23.35,-64.9520389388,-54.8884581534,-54.8884581534
23.4,-64.9525138005,-54.888455577,-54.888455577
23.45,-64.9529839606,-54.8884530383,-54.8884530383
23.5,-64.9534494656,-54.8884505367,-54.8884505367
23.55,-64.9539103617,-54.8884480717,-54.8884480717
23.6,-64.9543666944,-54.8884456426,-54.8884456426
23.65,-64.954818509,-54.8884432491,-54.8884432491
23.7,-64.9552658502,-54.8884408906,-54.8884408906
23.75,-64.9557087623,-54.8884385665,-54.8884385665
