"time","IC-soma","MSO_ON-soma","MSO_OFF-soma"
49.9,-58.3248591716,-54.8882976424,-54.8883328518
49.95,-58.352667169,-54.8882974133,-54.888332108
50.0,-58.3803409931,-54.8882971876,-54.8883313752
50.05,-58.4078808375,-54.8882969652,-54.888330653
50.1,-58.4352864393,-54.8882967461,-54.8883299414
50.15,-58.4625584833,-54.8882965302,-54.8883292402
50.2,-58.489697349,-54.8882963174,-54.8883285493
50.25,-58.5167034185,-54.8882961077,-54.8883278684
50.3,-58.5435770736,-54.8882959011,-54.8883271975
50.35,-58.570318701,-54.8882956976,-54.8883265364
50.4,-58.5969286917,-54.888295497,-54.888325885
50.45,-58.6234074338,-54.8882952993,-54.888325243
50.5,-58.649754491,-54.8882951045,-54.8883246105
50.55,-58.6759706549,-54.8882949126,-54.8883239872
50.6,-58.7020563226,-54.8882947235,-54.888323373
50.65,-58.7280118655,-54.8882945372,-54.8883227678
50.7,-58.7538376889,-54.8882943535,-54.8883221714
50.75,-58.7795342002,-54.8882941726,-54.8883215838
50.8,-58.8051018062,-54.8882939943,-54.8883210047
50.85,-58.8305408554,-54.8882938186,-54.8883204341
50.9,-58.8558511713,-54.8882936455,-54.8883198719
50.95,-58.8810333486,-54.8882934749,-54.8883193178
51.0,-58.9060878108,-54.8882933068,-54.8883187719
51.05,-58.9310149795,-54.8882931412,-54.8883182339
51.1,-58.9558152847,-54.888292978,-54.8883177038
51.15,-58.980489152,-54.8882928172,-54.8883171815
51.2,-59.0050370084,-54.8882926587,-54.8883166668
51.25,-59.0294592825,-54.8882925026,-54.8883161596
51.3,-59.0537564019,-54.8882923487,-54.8883156598
51.35,-59.077928175,-54.8882921971,-54.8883151673
51.4,-59.1019752692,-54.8882920477,-54.888314682
51.45,-59.1258981209,-54.8882919005,-54.8883142038
51.5,-59.1496971699,-54.8882917555,-54.8883137327
51.55,-59.1733728544,-54.8882916125,-54.8883132683
51.6,-59.1969255838,-54.8882914717,-54.8883128108
51.65,-59.2203557932,-54.8882913329,-54.88831236
51.7,-59.2436639252,-54.8882911962,-54.8883119158
51.75,-59.2668504232,-54.8882910614,-54.888311478
51.8,-59.2899152429,-54.8882909286,-54.8883110467
51.85,-59.312858895,-54.8882907978,-54.8883106216
51.9,-59.3356818339,-54.8882906689,-54.8883102028
51.95,-59.3583845107,-54.8882905418,-54.8883097901
